X,Y,FID,ID,Longitud,latitud,Nombre_Con,Comuna,Región,Total_depa,Año_Permi,Superficie,Villa_de_B,jardin_inf,Ed_basica,Ed_media,Hospital,Consultori,Sapu,Bomberos
-71.521996326538698,-33.018872136542583,436,434,-71.521996,-33.018872,Condominio Los Ciruelos,Viña del Mar,V,140,2012,58.01,No,235.965499,586.897622,1397.358841,2217.24696,942.236726,656.886092,1401.610116
-71.539920719449697,-33.063624124773497,437,435,-71.539921,-33.063624,Conjunto Valle Cardenal y Navidad,Viña del Mar,V,120,2012,56.43,No,192.662797,1767.658283,1767.658283,3828.891729,1926.049131,2875.532002,3451.610378
-71.547416304470005,-33.020676019090892,438,436,-71.547416,-33.020676,Edificio Oriente,Viña del Mar,V,40,1954,113.48,No,739.52701,771.05575,320.819828,1055.406579,1538.521423,3004.36033,618.800477
-71.555733218601503,-33.017286014424108,439,437,-71.555733,-33.017286,Edificio Monckton,Viña del Mar,V,10,1955,0,No,948.401105,715.309918,667.754944,1818.570401,1998.179941,3288.755006,1059.918417
-71.549724181868896,-33.019308962731706,440,438,-71.549724,-33.019309,Edificio Mediterráneo,Viña del Mar,V,16,1959,113.25,No,661.847532,682.49519,264.338531,1293.936367,1797.966649,3223.197345,721.98138
-71.580668832987698,-33.036428806061998,441,439,-71.580669,-33.036429,Población Recreo Alto Carabineros III,Viña del Mar,V,72,1961,88.534,No,478.619087,293.293011,776.740944,2408.738577,229.390151,228.363178,1638.732751
-71.580351700344806,-33.035653028697297,442,440,-71.580352,-33.035653,Población Recreo Alto Carabineros I y II,Viña del Mar,V,157,1961,81.539172,No,559.034042,202.541046,699.366829,2499.739452,255.816821,254.814276,1710.724971
-71.578686480770102,-33.029210505757597,443,441,-71.578686,-33.029211,Edificio Atlántida,Viña del Mar,V,30,1965,85.7,No,1151.133918,529.018238,335.239876,3225.729147,854.368296,853.974168,2249.179401
-71.555799135488598,-33.024272683906403,444,442,-71.555799,-33.024273,Edificio Portal Álamos,Viña del Mar,V,120,1972,77.656,No,1184.923637,109.701962,563.292249,1370.976477,1980.151274,2741.36033,296.583333
-71.499873109545405,-32.990298162554907,445,443,-71.499873,-32.990298,Conjunto Habitacional Fabiola,Viña del Mar,V,67,1975,64.666818,No,375.509757,534.1942,1984.849177,5860.395852,1257.54411,3655.652898,1868.748182
-71.496449434068595,-32.9898607510207,446,444,-71.496449,-32.989861,Calle Lago General Carrera N 1450,Viña del Mar,V,950,2010,0,No,672.746438,220.672268,2299.092531,6116.158101,1442.198596,3836.121933,2176.536506
-71.549210547054301,-33.027946366125811,447,445,-71.549211,-33.027946,Conjunto Habitacional Canal Magdalena,Viña del Mar,V,152,1968,80.5,No,1218.291831,81.715045,181.276066,657.166154,1269.042616,2629.067451,247.82741
-71.519142375565096,-33.037499762007918,448,446,-71.519142,-33.0375,Conjunto Habitacional Los Limonares,Viña del Mar,V,220,1959,52,No,1046.186117,758.416078,1893.70689,2355.590908,1164.825069,1910.48891,1555.159689
-71.559310594407805,-33.022525745971407,449,447,-71.559311,-33.022526,Edificio Simonetti,Viña del Mar,V,10,1957,92.244,No,1248.444912,436.442987,813.017841,1749.738022,2356.899744,2673.583736,635.745026
-71.505131022407497,-32.993649015858992,450,448,-71.505131,-32.993649,Población Glorias Navales,Viña del Mar,V,108,1980,58.36,No,206.141826,193.578815,1393.012925,5255.184023,809.603003,3135.368278,1263.596544
-71.520349444617096,-32.99116878508211,451,449,-71.520349,-32.991169,Población Santa Julia I,Viña del Mar,V,140,1984,0,No,716.29824,270.488935,704.65727,4689.713334,493.554257,3298.221015,829.13627
-71.551788236968505,-33.014396712728903,452,450,-71.551788,-33.014397,Edificio Nueve Norte,Viña del Mar,V,40,1962,74.162,No,511.422861,534.64674,534.64674,1862.099645,1512.024317,3481.532408,998.413899
-71.557742171532496,-33.030794360668786,453,451,-71.557742,-33.030794,Población Loma Victoria,Viña del Mar,V,64,1958,90,No,510.100538,101.773721,733.149216,1451.490422,1658.075413,1996.761974,506.793488
-71.515710236902393,-33.036485647799701,454,452,-71.51571,-33.036486,Población Canal Beagle Centro,Viña del Mar,V,32,0,67.65,No,890.86475,560.670813,1636.106959,2616.542635,1098.138753,1763.880817,1751.36909
-71.415407172211502,-33.310832015930501,455,453,-71.415407,-33.310832,Condominio La Gloria,Casablanca,V,56,2011,56.9,No,511.520617,1207.183171,932.265527,1149.061934,1149.061934,24322.753343,596.315418
-71.411602688807093,-33.306301084550206,456,454,-71.411603,-33.306301,Santa barbara Segunda etapa,Casablanca,V,60,1999,51.17,No,183.077662,1317.055602,1364.435644,1446.299325,1446.299325,24794.409888,955.686105
-71.260774797756795,-32.892273139527695,457,455,-71.260775,-32.892273,Población Hermanos Maristas,Quillota,V,240,2000,52.756667,No,35.496386,262.329734,1266.192573,1460.007095,126.085416,14566.449913,1684.237835
-71.431275054690701,-33.046822291411893,458,456,-71.431275,-33.046822,Villa Soublette,Quilpué,V,224,1958,0,No,380.792175,643.778786,626.179294,630.930311,439.585237,2544.330327,682.092133
-71.2284234655706,-32.450973527749412,459,457,-71.228423,-32.450974,Calle Papudo,La Ligua,V,90,0,0,No,233.728957,188.568305,575.663195,262.27333,38003.373582,36203.049892,78.16309
-71.394756739829404,-33.051458475113314,460,458,-71.394757,-33.051458,Villa El Rocío,Villa Alemana,V,576,1990,47.51,No,1251.117041,745.49242,745.49242,3691.678333,1515.750688,1515.750688,679.570823
-71.597454928630398,-33.036214874872911,461,459,-71.597455,-33.036215,Población Puntilla San Luis,Valparaíso,V,149,1979,0,No,235.181583,207.848937,633.082883,2077.64149,454.086922,1346.151816,1816.54433
-71.555753937590595,-33.020116364580197,462,460,-71.555754,-33.020116,Conjunto Caja de Previsión de Carabineros,Viña del Mar,V,20,1959,0,No,1106.924864,405.435356,499.330941,1607.067461,2185.108738,3098.790919,747.703819
-71.555736017730894,-33.026181642291412,463,461,-71.555736,-33.026182,Edificio Alborada Block D,Viña del Mar,V,13,1969,0,No,1010.520152,288.471656,459.471528,1295.94045,1879.553973,2541.491422,112.478025
-71.555476519449499,-33.026188819890891,464,462,-71.555477,-33.026189,Edificio Alborada Blocks M y N,Viña del Mar,V,26,1967,71.839231,No,1024.421829,283.247075,436.065141,1272.304525,1862.47908,2548.557596,93.99586
-71.555602161181298,-33.026440287055621,465,463,-71.555602,-33.02644,Edificio Alborada Block A,Viña del Mar,V,24,1964,0,No,995.156365,313.021267,439.868569,1276.741279,1850.086718,2518.355627,86.226788
-71.555282944997899,-33.026488518090311,466,464,-71.555283,-33.026489,Edificio Alborada Block C,Viña del Mar,V,14,1968,0,No,1009.58445,313.00404,409.620574,1246.493096,1825.780309,2523.200842,58.155877
-71.543713552289105,-33.02112107680211,467,465,-71.543714,-33.021121,Edificio Los Acacios,Viña del Mar,V,40,0,0,No,819.24545,853.838273,653.637195,902.241878,1281.755737,2658.934967,784.684601
-71.520311282433795,-33.019535800203002,468,466,-71.520311,-33.019536,Villa Los Sargazos,Viña del Mar,V,144,0,0,No,204.347311,425.424938,1224.182197,2318.758983,836.136595,485.44779,1458.747329
-71.555431449168296,-33.026465870516311,469,467,-71.555431,-33.026466,Edificio Alborada Block B,Viña del Mar,V,13,1964,0,No,1002.802352,312.62386,423.696872,1260.570186,1837.08281,2520.92457,70.998804
-71.416321677394905,-33.066495134141583,470,468,-71.416322,-33.066495,Población Porvenir,Quilpué,V,440,1999,54.5,No,344.596665,427.804234,2099.577089,2329.193286,1118.093208,1118.093208,1913.31721
-71.238932496647607,-32.455441763006398,471,469,-71.238932,-32.455442,Don Zacarías,La Ligua,V,128,0,0,No,526.72273,714.077986,1273.907762,1046.807552,37549.114433,35825.423742,1082.104941
-71.045193715735095,-34.708114247473006,472,470,-71.045194,-34.708114,Villa Nuestra Sra de la Merced,Chimbarongo,VI,108,1995,40.236667,No,410.281176,610.872923,837.684026,979.481479,14510.248165,14510.248165,218.334535
-70.949399732203204,-34.270817826059108,473,471,-70.9494,-34.270818,Villa Coinco,Coinco,VI,36,1992,43.413333,No,49.288623,253.310834,246.587251,1678.656994,5460.381598,23433.003117,225.997592
